token,frequency
વિશે,883
લાખ,880
જાહેર,866
લઈને,862
3,850
બીજી,846
તરફ,843
તેણે,834
બંને,832
અહીં,828
થયું,818
અમદાવાદ,817
અનેક,813
નામ,811
પડી,810
દૂર,808
એમ,806
વિવિધ,806
છેલ્લા,801
માહિતી,800
જોકે,791
તૈયાર,789
જરૂરી,787
સારવાર,785
તેમાં,785
મોત,778
તેથી,777
5,774
છીએ,772
સમગ્ર,767
રૂપિયા,763
મારી,761
રાજકોટ,754
રોડ,748
વિસ્તારમાં,747
મુખ્ય,747
જેમ,739
10,738
હશે,737
જેથી,737
ફિલ્મ,737
સરકારે,734
સતત,733
બીજા,732
પડે,731
ઘણી,729
નિર્ણય,723
પાંચ,723
તેનો,723
સહિત,723
છતાં,722
તેવી,721
કરોડ,714
જેના,713
આવતા,711
મને,709
જ્યાં,706
ચાર,706
વર્ષે,704
મળશે,696
હોવાનું,692
દિવસે,692
આવેલ,691
કોઇ,690
4,690
પડશે,689
હતાં,678
પટેલ,676
એવું,671
યોગ્ય,670
સારી,670
આપણે,670
ઓફ,668
અનુસાર,667
આપે,666
ટીમ,663
એવી,662
કેવી,661
વખતે,661
લગભગ,659
વખત,657
હાલ,655
જિલ્લા,655
હેઠળ,652
મહિલા,646
વધારો,646
પહોંચી,645
આગળ,643
મદદ,638
ફરી,630
જેવા,626
મોદી,625
દેશમાં,623
દિલ્હી,623
ચાલુ,623
અસર,622
ભાગ,622
બધા,616
થતા,611
ચૂંટણી,610
આવા,609
ભારે,607
કોંગ્રેસ,606
ઘટના,602
વધી,593
–,590
ફરિયાદ,588
પહેલાં,587
ચાલી,583
ગુજરાતમાં,582
વરસાદ,581
આમ,580
જેને,580
જેવી,578
છું,576
એવા,571
જિલ્લામાં,570
આગામી,566
કરવાનો,563
કાર્યવાહી,563
બનાવી,561
ભાજપ,559
પ્રમાણે,556
લગ્ન,555
જશે,552
ઘરે,547
રહ્યાં,547
સવારે,546
ભારતમાં,544
કરવો,542
લાગે,539
કેન્દ્ર,538
હાલમાં,538
હોવાથી,535
શ્રી,535
પસંદ,533
પ્રમુખ,533
લઇ,532
પાસેથી,532
રહેલા,532
એસ,529
કહે,527
હજાર,522
રાજ્ય,519
ગયું,514
રાજ્યમાં,512
નો,510
રહેતા,508
મારા,508
બાળકો,507
લીધો,506
વ્યક્તિ,506
પૂર્વ,506
6,504
સરકારી,503
જાહેરાત,502
સમાવેશ,500
કંપની,498
સોશિયલ,498
સમયમાં,497
મુખ્યમંત્રી,497
વીડિયો,495
પી,492
લેવા,491
મામલે,490
અત્યાર,489
20,487
નાના,487
આરોગ્ય,486
શહેરમાં,485
આપવા,485
સ્થિતિ,483
લાભ,483
હજુ,483
નક્કી,480
લેવામાં,479
કરવું,475
તેનું,474
દીધી,472
કેમ,470
સુધીમાં,469
હતુ,469
કરવાનું,468
મંત્રી,467
બનાવવા,466
બેઠક,465
લીધી,465
વર્ષની,465
કામગીરી,465
જતા,464
હોસ્પિટલમાં,464
ડો,462
પગલે,460
આયોજન,458
ગંભીર,453
કરવી,450
8,449
ધ્યાન,448
આપ્યો,447
તમારે,447
વિકાસ,447
ઝડપી,446
દાખલ,446
દર,445
૧,445
જીવન,444
ધરપકડ,444
મીડિયા,444
સંપૂર્ણ,442
નજીક,441
યોજના,440
થતાં,439
7,438
સેવા,438
૧૦,438
સ્થાનિક,437
તરફથી,435
નંબર,435
પ્રાપ્ત,434
નીચે,434
પરથી,428
શેર,427
લાગી,427
કોરોનાના,427
ભાજપના,426
માતા,426
અગાઉ,425
પૂર્ણ,423
કાર,422
જાણ,422
પ્રયાસ,422
ભાવ,418
દેવામાં,418
આધારે,417
હોઈ,416
થવા,413
30,411
દેશના,411
સંખ્યા,411
વગર,410
ઓછી,410
મેળવી,409
રાખી,409
15,409
થોડા,408
કોઈપણ,407
કરતી,406
લાંબા,405
પસાર,405
લોકોએ,404
રજૂ,403
વાર,402
લઇને,401
આવેલી,400
જિલ્લાના,400
12,399
નરેન્દ્ર,399
વડાપ્રધાન,398
સિવાય,396
મુલાકાત,394
જયારે,392
હોવાની,392
ચર્ચા,391
કરીએ,390
પરિવાર,389
સુરત,389
મોટો,387
જાણવા,387
ઘર,386
સી,386
પાછળ,385
રાજ્યના,384
જઈ,384
જોઇએ,384
ફોન,382
હોવા,381
મળ્યા,380
ગામમાં,379
કોંગ્રેસના,378
થયેલા,378
કલાક,377
સિંહ,377
રાહુલ,374
નેતા,374
ટેસ્ટ,374
લોકોના,373
મંદિર,372
લોકોની,372
ત્યારબાદ,371
વિજય,371
દેશ,369
શહેર,368
રિપોર્ટ,368
સરળ,366
11,365
જવા,364
મેચ,364
દિવસમાં,364
ઉત્તર,363
લીધા,363
ઉલ્લેખનીય,360
ફક્ત,360
હાજર,359
જમીન,359
છ,358
અંદર,357
જવાબ,357
૩,356
શરૂઆત,356
કેટલીક,355
ઘરમાં,355
મુંબઈ,355
સહિતના,354
પૈસા,354
પત્ની,353
અભ્યાસ,351
કહી,350
ખરાબ,349
તાલુકાના,347
વિરોધ,347
આર્થિક,347
સામેલ,347
વિસ્તારોમાં,347
ઘટાડો,347
પરત,346
પ્રેમ,346
જણાવી,346
જેટલા,346
ગામના,346
સારા,345
મળ્યો,345
ખાનગી,345
રાખવામાં,345
ગત,345
ખરીદી,344
ગુજરાતના,344
ગામ,344
કેસમાં,344
મૃત્યુ,344
ધરી,343
9,342
ભારતના,342
ગઇ,341
મેં,340
વધુમાં,339
રન,339
સાંજે,338
લો,338
રાત્રે,336
જોઈ,335
તેવા,335
બને,335
ટી,335
ઉત્પાદન,334
શિક્ષણ,332
ખુબ,332
50,331
વર્ષના,330
રકમ,330
લે,329
કોવિડ,329
બનાવવામાં,327
સમાચાર,327
24,327
નહિ,327
પિતા,326
જેની,326
અરજી,326
શહેરના,325
આર,325
ડી,324
જાણકારી,323
વિરુદ્ધ,323
થતી,323
સંખ્યામાં,322
૬,321
બસ,321
ખર્ચ,321
મોદીએ,321
ખબર,320
એન્ડ,319
પ્રાથમિક,319
વ્યવસ્થા,318
ધરાવે,318
પ્રકારની,317
આપતા,316
વર્ષથી,315
ગામે,315
બી,314
લીધે,314
મંજૂરી,313
વ્યક્ત,310
આપ્યું,310
૪,310
બદલે,310
પીએમ,310
કિંમત,310
રાષ્ટ્રીય,309
જણાવ્યા,309
લાગુ,308
પ્રક્રિયા,308
માટેની,308
ચોક્કસ,307
થવાની,307
મળ્યું,306
જાણો,306
સમસ્યા,306
આધાર,305
નહી,305
કાર્ય,304
કહેવામાં,304
શ્રેષ્ઠ,303
હંમેશા,302
અધિકારી,301
નાની,301
ઝડપથી,300
જગ્યા,300
ઓછા,300
પ્રકારના,300
ઉપલબ્ધ,299
સુરક્ષા,299
રાજકીય,299
ધરાવતા,298
હત્યા,298
ધ્યાનમાં,296
સામનો,296
ફરીથી,295
શક્ય,295
તંત્ર,295
અધિકારીઓ,294
૨,294
જી,293
પોઝિટિવ,293
આદેશ,292
પ્રદેશ,292
પતિ,292
નું,291
જગ્યાએ,291
ક્યારેય,290
સ્પષ્ટ,290
અધ્યક્ષ,289
દીધો,289
મજબૂત,288
ફરજ,288
સફળ,286
મેળવવા,285
દક્ષિણ,284
રહેલી,284
શકશે,284
આપણા,284
આરોપી,283
હોસ્પિટલ,283
પરીક્ષા,283
ગુનો,281
અમદાવાદમાં,280
બાબતે,280
વિદ્યાર્થીઓ,280
સુંદર,280
અંતિમ,280
જુઓ,279
વર્ષમાં,279
મહિનામાં,279
જુદા,279
વિભાગ,278
ખાન,278
કરનાર,277
યાદ,276
નોકરી,276
નોંધાયા,276
પૂરી,275
જતાં,275
પરિણામ,275
અમારી,275
હુમલો,275
મોરબી,274
નુકસાન,274
લખ્યું,274
પહેલી,274
સાત,274
વાયરલ,273
જન્મ,273
તેનાથી,272
સ્ટેશન,272
રોકાણ,272
દાવો,272
પશ્ચિમ,271
સ્થાન,271
માંગ,270
પાકિસ્તાન,270
બધી,269
નજર,269
વિશેષ,269
19,269
અમારા,269
કાર્યક્રમ,269
તાલુકા,269
25,267
વડોદરા,267
વિના,267
શાહ,267
માનવામાં,267
પોતે,266
ગાંધી,265
થયેલ,264
તેવું,264
તાજેતરમાં,264
સારું,263
થયેલી,263
ક્રિકેટ,263
આરોપ,262
કરવાના,262
આપ્યા,262
ચીન,262
ખેડૂતો,261
100,260
એવો,259
કોર્ટે,258
ચૂંટણીમાં,257
છોડી,257
શાળા,256
વગેરે,255
બન્યા,255
આપશે,255
મળતી,254
કર્યુ,253
દેશની,253
પોતાનો,252
રાખવા,252
અમિત,252
ઉચ્ચ,252
બનશે,251
પ્રવેશ,251
બહુ,251
બાળક,250
સંપર્ક,250
પાર્ટી,249
000,248
પહોંચ્યા,248
કેન્દ્રીય,247
પોલીસને,247
માર્ગ,247
રાહત,246
પોસ્ટ,246
શક્યતા,245
પ્રતિ,244
સરકારની,243
કરાઈ,242
મહિના,242
બધું,242
14,242
મુદ્દે,241
દરમ્યાન,241
અંતર્ગત,241
નિર્માણ,241
વિસ્તાર,241
સમયથી,241
જીવનમાં,240
સરકારના,240
નિવેદન,239
કદાચ,239
વિદેશી,238
અમને,238
વિગતો,238
મહત્વપૂર્ણ,238
વન,237
આવક,237
નામે,236
એને,236
કરવાથી,236
રંગ,236
બાજુ,235
પ્રમાણમાં,235
સુપ્રીમ,234
કલાકમાં,234
આનંદ,234
લોકડાઉન,234
મી,234
સ્થળે,234
કોરોનાની,234
ગાંધીનગર,233
તક,233
મિનિટ,233
બાકી,233
વારંવાર,233
આવતી,233
ગરમ,233
તેમનું,232
અચાનક,232
તૈયારી,232
બન્ને,232
આપવાની,232
પાડી,231
બનાવે,231
18,231
આગ,230
વડા,230
સમાન,230
મા,230
વેચાણ,230
સ્વાસ્થ્ય,230
સંબંધિત,229
ભાઈ,229
તેમનો,229
બાળકોને,229
રાખો,229
બેંક,229
કરાવી,229
સફળતા,229
દર્દીઓ,229
વિચાર,228
પસંદગી,228
સ્થળ,228
દવા,227
આશા,227
ઉ,226
જાણે,226
16,226
ગ્રામ,226
શો,226
કોર્ટમાં,225
ખાલી,225
નામના,225
કંપનીઓ,225
વજન,224
જવાબદારી,224
13,224
દો,224
સ્થિત,224
કરતો,224
મિત્રો,223
40,223
નેશનલ,223
ચિંતા,222
મુશ્કેલ,222
પૈકી,222
સાબિત,222
કહ્યુ,221
અમુક,221
૫,221
બાદમાં,221
૧૫,221
કહેવું,220
આવું,220
કરેલ,219
17,219
પટેલે,219
ભાવનગર,219
કાર્ડ,219
પુત્ર,219
અર્થ,218
મતદાન,218
અમેરિકા,218
કરાયો,217
ભાગમાં,217
ધ,217
ઉદાહરણ,216
વાહન,216
લેતા,216
જામનગર,216
એટલું,215
આશરે,215
પ્રધાન,215
ટીવી,215
ભૂમિકા,215
મે,215
ખેતી,215
રહેવા,214
ધારાસભ્ય,214
સાંસદ,214
સોમવારે,214
પોતાનું,214
ઉપસ્થિત,214
રેલવે,214
મેડિકલ,214
૧૨,213
સામાજિક,213
રચના,213
પ્રદર્શન,212
તેઓએ,212
મંગળવારે,212
હજી,212
સુવિધા,212
વિશ્વ,212
કહેવાય,211
૨૦,211
રાખીને,210
ખાતરી,210
કરાશે,210
ચોરી,209
અનુભવ,209
અત્યારે,209
રસી,209
ધીમે,209
રસ્તા,208
એના,208
જેટલી,207
શુક્રવારે,207
વાતચીત,207
ભારતની,206
૩૦,206
દીધું,206
ખરેખર,206
ડે,206
ફી,206
મૂળ,206
૭,205
સિસ્ટમ,205
દારૂ,205
કર્મચારીઓ,205
ટીમે,205
વસ્તુઓ,204
દીધા,203
એની,202
એકવાર,202
સારો,201
રાખે,201
પેટ્રોલ,201
થોડી,201
રજૂઆત,201
મોટું,201
શરુ,199
સંપૂર્ણપણે,199
વર્લ્ડ,198
કિસ્સામાં,198
વસ્તુ,198
માર્ચ,198
ફેરફાર,197
લક્ષણો,197
પૂજા,197
શકતા,197
હોવાનો,197
વિશ્વાસ,196
૮,196
બેઠકો,196
પાલન,196
રાહ,195
આસપાસ,195
સલાહ,195
શરીર,195
નં,195
કડક,195
લગાવી,195
માણસ,194
વ,194
દર્શન,194
કેપ્ટન,194
વર્ષીય,194
આથી,194
મળીને,194
લાલ,194
રોગ,194
મોબાઈલ,194
સવાલ,193
રસ,193
પડ્યો,192
પાણીની,192
વિભાગના,192
તારીખ,192
સક્રિય,192
થતો,192
ત્યાર,192
દૂધ,191
બજારમાં,191
રવિવારે,191
મોટાભાગના,191
ટ્રેન,191
યુવાન,190
બુધવારે,190
દિલ્હીમાં,190
દરરોજ,190
કોણ,190
પાછા,189
ફિલ્મમાં,189
કઈ,189
21,189
પાર,189
દંડ,189
લોકપ્રિય,188
આઠ,188
શનિવારે,188
સ્ટાફ,188
માસ્ક,188
ઉભી,188
દેખાય,188
મહિલાઓ,188
કલમ,188
પ્રતિબંધ,187
સ્તર,187
ચેરમેન,187
માંથી,186
સરકારને,186
જનતા,186
જીત,186
તરત,186
વ્યવસાય,186
પ્રધાનમંત્રી,186
એન,186
પરિસ્થિતિ,186
ગુજરાતી,186
નામની,185
કરાયું,185
શુભ,184
દિવસોમાં,184
અપીલ,184
મળતા,184
બપોરે,184
સામગ્રી,184
મત,184
મેચમાં,184
બેઠકમાં,183
દઈએ,183
ભગવાન,183
ફોટો,182
વર્તમાન,182
૧૧,182
એટલા,182
સંભાવના,182
આધુનિક,181
સંબંધ,181
માનસિક,181
વિકેટ,181
દે,181
ભોજન,181
લોકોમાં,181
સ્થિતિમાં,181
વાયરસના,180
સમાજ,180
મધ્ય,180
કુમાર,180
સહિતની,180
જોખમ,179
સાથેની,179
આવો,179
તમારું,179
માટેના,178
ખેડૂત,178
વાગ્યે,178
ક્યારેક,177
રેકોર્ડ,177
સિવિલ,177
સહાય,177
ક્લિક,177
શોધી,177
નેતાઓ,176
રાષ્ટ્રપતિ,176
હોત,176
ધરવામાં,176
જેનો,176
તેલ,176
પ્રોજેક્ટ,176
અંત,176
ટેક્સ,175
સાફ,175
ઉજવણી,175
પત્ર,175
નીકળી,175
કુદરતી,175
જીવ,175
ડોલર,174
ગમે,174
નવો,174
રદ,174
મદદથી,174
નાણાકીય,174
અંતે,173
હવામાન,173
પોતાને,173
વિશાળ,173
સેન્ટર,173
બાબત,173
સંજય,173
નર્મદા,172
હોવાના,172
પકડી,172
કરેલા,172
હાર્દિક,172
ભલે,172
ડિગ્રી,171
સુરતમાં,171
આધારિત,171
ક્યાં,171
સભ્યો,171
ત્રીજા,171
સૌ,171
નિયમ,170
દિવસથી,170
ક્ષમતા,170
ડોઝ,170
કૃષિ,170
વાતો,169
માર્ગદર્શન,169
જેઓ,169
દબાણ,169
મોબાઇલ,169
પાસ,169
ખોરાક,168
ઉભા,168
ખુશ,168
નોંધાયો,167
બનાવ,167
ઘણાં,167
વાળ,167
ઘરની,167
22,167
લોન,167
પગલાં,167
ઓફર,167
ભારતે,167
બદલ,167
માનવ,165
બીજો,165
અમેરિકાના,165
નાણાં,165
વિવાદ,165
કંઈક,165
કંપનીએ,165
જવાબદાર,164
વોર્ડ,164
૯,164
સન્માન,164
સમક્ષ,164
જઇ,163
તાત્કાલિક,163
તસવીર,163
એરપોર્ટ,163
ફાયદો,163
કરેલી,163
બજાર,163
તાલુકામાં,163
શા,163
ધમકી,163
મન,162
પરિવારના,162
ઉમેદવાર,162
વી,162
તોડી,162
પાર્ક,162
વ્યક્તિને,162
ઈ,162
તસવીરો,162
પાડવામાં,161
અંગેની,161
કંઈ,161
ઓળખ,161
વધે,161
કોર્ટ,161
રાજકોટમાં,161
સજા,160
પ્રકાશ,160
કાઢી,160
કોઈને,160
સફેદ,160
દિવસો,160
ખેડૂતોને,160
યુવા,160
અસરકારક,160
મચી,159
પ્રસંગે,159
મોડી,159
પરિણામે,159
જુદી,159
ભાગે,159
ઉપયોગી,158
રૂપિયાની,158
મોકલી,158
ઓછું,158
આજ,158
પગ,158
આંકડા,158
હાથમાં,158
જણાવ્યુ,158
આવેલું,157
વાયરસ,157
કયા,157
૧૪,157
પ્રશ્ન,157
ઉલ્લેખ,157
આખા,156
અકસ્માત,156
અભિનેત્રી,156
નોંધપાત્ર,156
જમ્મુ,156
આંતરરાષ્ટ્રીય,155
એમાં,155
ઓછો,155
ફોર્મ,155
બોર્ડ,155
લાંબી,155
શર્મા,155
રોકડ,155
જૂના,154
તાલીમ,154
વિદ્યાર્થીઓને,154
સુરક્ષિત,154
આખરે,153
એપ્રિલ,153
આપણી,153
લેવાની,153
૨૪,153
વિદેશ,153
દિવસની,153
૫૦,153
કલાકે,153
જાડેજા,153
ચીફ,153
વાળા,153
પંચાયત,153
ટ્રાફિક,153
વધીને,152
લાગ્યો,152
આક્ષેપ,152
આવતાં,152
જથ્થો,151
કેસો,151
કાર્યક્રમમાં,151
ઇ,151
એકદમ,151
મુસ્લિમ,151
વિકલ્પ,150
એલ,150
લોકસભા,150
0,150
શાંતિ,150
વિધાનસભા,150
અહેવાલ,150
ઓછામાં,150
જોઈને,150
મૂકી,150
કાપી,150
શારીરિક,150
સુધારો,150
મુંબઇ,149
સંયુક્ત,149
હોમ,149
મીટર,149
વિતરણ,149
સભ્ય,149
વાગ્યા,149
લોન્ચ,149
સ્ટેશનમાં,148
ભાવમાં,148
જાણીતા,148
કર્મચારી,148
અભિનેતા,148
બન્યો,148
બેન્ક,148
કરોડની,147
ગરીબ,147
કેન્સર,147
જતી,147
નવું,147
ધોરણ,147
ડેટા,147
60,147
નોંધાવી,147
પ્રયત્ન,146
જેલમાં,146
કપૂર,146
બિલ,146
મારો,146
પાણીમાં,146
પરમાર,146
ચૂક્યા,146
ભાગના,146
રહેતી,146
મારે,146
પોલીસની,145
વ્યક્તિગત,145
હકીકત,145
વાતાવરણ,145
નહોતી,145
અત્યંત,145
ચાર્જ,145
તાપમાન,145
હાજરી,145
સાથેના,145
વહેલી,145
ભોગ,145
યાત્રા,144
રામ,144
માર્કેટ,144
સ્કૂલ,144
નગર,144
તેઓને,144
૨૫,144
ઘટી,144
સલમાન,144
અગ્રણી,144
શરૂઆતમાં,144
કરાયા,144
કેટલા,144
ગામની,143
નોંધી,143
કરશો,143
મળવા,143
સૌરાષ્ટ્ર,143
આઈ,143
મુશ્કેલી,143
લીધું,143
જનરલ,143
મામલો,142
આપીને,142
સ્વ,142
૧૯,142
ઉર્ફે,142
મહારાષ્ટ્ર,142
નિયમો,142
આભાર,142
જેમાંથી,142
શરીરમાં,142
ક્ષેત્રમાં,141
ફરાર,141
મહત્વનું,141
સમર્થન,141
કાળા,141
બિઝનેસ,141
ધાર્મિક,141
જારી,141
બનાવ્યા,141
લાગ્યા,141
આજથી,140
યોગ,140
આપ,140
પાર્ટીના,140
આવ્યુ,140
દસ,140
યુ,140
બદલી,140
ઓનલાઇન,140
કેસની,140
ગુરુવારે,140
વળી,139
હોઇ,139
પ્રવાસ,139
રહેલ,139
લાખની,139
રહેવું,139
એજન્સી,139
વિષય,139
જેનાથી,139
આંતરિક,139
તેવો,139
સ્થાને,138
28,138
ત્રણેય,138
માહોલ,138
વેક્સિન,138
અમદાવાદના,138
આવશ્યક,138
23,137
લાગણી,137
26,137
માર,137
અમેરિકન,137
૧૮,137
કંપનીના,137
દિશામાં,137
કાયદો,137
પહોંચ્યો,137
રિલીઝ,137
આંકડો,136
મુક્ત,136
સુધીની,136
તું,136
ગ્રામ્ય,136
ઓનલાઈન,136
યુવક,136
ઉત્તમ,136
જૂનાગઢ,136
જેવું,135
ટીમના,135
સપાટી,135
ભવ્ય,135
જીતી,135
લોકોનો,134
સરળતાથી,134
સુનાવણી,134
ભલામણ,134
શક્તિ,134
ફાયર,134
નજરે,134
ઉંમર,134
હેલ્થ,134
જાણી,134
માંગણી,134
દોડી,134
ચાલે,134
સર્વિસ,133
રજા,133
ઘણો,133
ટ્રક,133
હિન્દુ,133
ટિકિટ,133
બાળકને,133
તેમાંથી,133
બન્યું,133
ખોટી,133
વિચારો,133
૦૦૦,133
આગાહી,132
મહત્વની,132
સંક્રમિત,132
દર્દી,132
દિલ્હીઃ,132
હોવું,132
પરવાનગી,132
આંદોલન,132
સ્વાગત,131
સંસ્થા,131
ચા,131
જૂન,131
જઈને,131
કિલો,131
દુનિયામાં,131
અભિયાન,131
કાયદા,131
પોરબંદર,131
શ્વાસ,131
શકાશે,131
વિરાટ,131
વિભાગે,130
કોલેજ,130
હજારો,130
સીટ,130
પરિણામો,130
વાંચો,130
વેપાર,130
કી,130
મિત્ર,130
મહાન,130
અમેરિકામાં,129
જવાની,129
મહત્વ,129
અર્થે,129
ભરી,129
સેટ,129
પ્રારંભ,129
ટૂંક,129
કેટલી,129
ગુજરાતની,129
આવવા,129
આજના,129
વેપારી,129
બજેટ,129
કરનારા,129
ઉપાય,129
નુકશાન,128
અવાજ,128
એચ,128
સ્થાપિત,128
લેશે,128
જોતા,128
મહિને,128
રમત,128
અધિકાર,128
વધશે,128
રક્ષણ,128
આપો,128
પાટીદાર,128
પામી,127
શોધ,127
એર,127
કોરોનાથી,127
ઓફિસ,127
માંગે,127
શંકા,127
મીડિયામાં,127
ઘાયલ,127
દેખાવ,127
સ્તરે,127
દીકરી,127
રમી,127
તમારો,126
સરદાર,126
૧૩,126
વધતા,126
500,126
રોકવા,126
નિયમિત,126
નિયંત્રણ,126
સાથ,126
એવોર્ડ,126
ટ્વીટ,126
ત્યાંથી,126
સમાજના,126
ઓ,126
પ્રદેશમાં,125
રસપ્રદ,125
હોવી,125
અલબત્ત,125
સપ્ટેમ્બર,125
આવ્યાં,125
ડિસેમ્બર,125
૪૦,125
મિશ્રણ,125
૧૬,125
ઊભી,125
સંક્રમણ,125
છેલ્લી,125
એક્ટિવ,125
બનેલા,124
ચર્ચામાં,124
અંદાજે,124
બહેન,124
વાહનો,124
યુનિવર્સિટી,124
જાન્યુઆરી,124
આવરી,124
સરેરાશ,123
ટ્વિટર,123
મોદીના,123
વિગત,123
દવાઓ,123
31,123
ખેલાડી,123
કાલે,123
કમિશનર,123
યુવાનો,123
જાતે,123
જોડાયેલા,123
ઉમેદવારો,123
અજાણ્યા,123
કોંગ્રેસે,123
સમસ્યાઓ,123
એટલી,122
સાચી,122
ગાંધીએ,122
બિન,122
પડ્યા,122
ઇન્ડિયા,122
લાખો,122
હા,122
મેસેજ,122
સ્ટાર,122
ગેસ,122
ક્રેડિટ,122
શાનદાર,122
વીમા,121
તબીબી,121
રૂપે,121
ઘણું,121
સેવાઓ,121
મકાન,121
યુવતી,121
પાક,121
થવું,121
રાજ્યોમાં,120
જમા,120
વૈશ્વિક,120
આઇ,120
પાવર,120
જોડાયા,120
રાજ,120
મૂકવામાં,120
તીવ્ર,120
ડિઝાઇન,120
મહેતા,120
સ્થાપના,120
પ્રત્યે,120
ધર્મ,120
સર્વે,120
પ્રમાણ,119
વરિષ્ઠ,119
સોમનાથ,119
ગયેલા,119
પડતા,119
2020,119
સક્ષમ,119
રાજસ્થાન,119
જણાવે,119
ચૂકી,119
કરાવવા,119
સંભવિત,119
વર્ષો,119
ગીત,119
પાલિકા,118
મુખ્યત્વે,118
બનવા,118
આઉટ,118
પુરી,118
દિવસના,118
દુર,118
નાયબ,118
હોવ,118
સૂચના,118
વિશ્વમાં,118
રૂમ,118
નદી,118
બીજું,118
મહામારી,118
વિસ્તારના,117
ફિલ્મો,117
થઈને,117
રાખવી,117
અમલ,117
અંદાજ,117
બચાવવા,117
ઘરના,117
કમાણી,117
સત્તા,117
ગ્રુપ,117
કોરોનાને,117
કરોડના,116
કપ,116
પરેશાન,116
35,116
હાલત,116
ઠીક,116
ભાજપે,116
નિશાન,116
ગ્રાહકોને,116
મુદ્દો,116
વાર્ષિક,116
પેદા,116
અનામત,116
પાકિસ્તાનના,116
ગઈકાલે,116
ઓપરેશન,116
ટન,116
યુદ્ધ,116
પુત્રી,116
નજીકના,116
સમજી,116
ભરતી,115
રૂમમાં,115
કિ,115
અધિકારીએ,115
ચેપ,115
સ્વસ્થ,115
દોઢ,115
આપવાનું,115
કાર્યરત,115
પગલું,115
જેવો,115
200,115
વડે,114
નવેમ્બર,114
27,114
દર્દીઓની,114
યાદીમાં,114
આખી,114
ફ્રી,114
ફેસબુક,114
જૂની,114
ગૃહ,114
સંકેત,113
વ્યાપક,113
પ્લાન,113
ઊભા,113
જવું,113
પોલીસના,113
સત્તાવાર,113
વાસ્તવિક,113
ચેતવણી,113
ચીનના,113
પ્રશ્નો,113
રસ્તો,113
બરાબર,113
ડૉ,113
રૂા,112
નહોતો,112
પહેલેથી,112
ઉપયોગમાં,112
આવનાર,112
મારફતે,112
એન્ટ્રી,112
સીધા,112
બાંધકામ,112
જોરદાર,112
નવ,112
કારણો,111
દર્દીઓને,111
જાળવી,111
કરાઇ,111
શાહે,111
બનેલી,111
દેશોમાં,111
મહેસાણા,111
અમરેલી,111
વીજ,111
નોંધનીય,111
ગુમાવી,111
ભેગા,111
વ્યવહાર,111
ઉકેલ,111
